"state","county","FIPS","votes_dem_12","votes_gop_12","votes_total_12"
"AK","Alaska",2013,NA,NA,NA
"AK","Alaska",2016,NA,NA,NA
"AK","Alaska",2020,NA,NA,NA
"AK","Alaska",2050,NA,NA,NA
"AK","Alaska",2060,NA,NA,NA
"AK","Alaska",2068,NA,NA,NA
"AK","Alaska",2070,NA,NA,NA
"AK","Alaska",2090,NA,NA,NA
"AK","Alaska",2100,NA,NA,NA
"AK","Alaska",2105,NA,NA,NA
"AK","Alaska",2110,NA,NA,NA
"AK","Alaska",2122,NA,NA,NA
"AK","Alaska",2130,NA,NA,NA
"AK","Alaska",2150,NA,NA,NA
"AK","Alaska",2164,NA,NA,NA
"AK","Alaska",2170,NA,NA,NA
"AK","Alaska",2180,NA,NA,NA
"AK","Alaska",2185,NA,NA,NA
"AK","Alaska",2188,NA,NA,NA
"AK","Alaska",2195,NA,NA,NA
"AK","Alaska",2198,NA,NA,NA
"AK","Alaska",2220,NA,NA,NA
"AK","Alaska",2230,NA,NA,NA
"AK","Alaska",2240,NA,NA,NA
"AK","Alaska",2261,NA,NA,NA
"AK","Alaska",2270,NA,NA,NA
"AK","Alaska",2275,NA,NA,NA
"AK","Alaska",2282,NA,NA,NA
"AK","Alaska",2290,NA,NA,NA
"AL","Autauga County",1001,6354,17366,23909
"AL","Baldwin County",1003,18329,65772,84988
"AL","Barbour County",1005,5873,5539,11459
"AL","Bibb County",1007,2200,6131,8391
"AL","Blount County",1009,2961,20741,23980
"AL","Bullock County",1011,4058,1250,5318
"AL","Butler County",1013,4367,5081,9483
"AL","Calhoun County",1015,15500,30272,46240
"AL","Chambers County",1017,6853,7596,14562
"AL","Cherokee County",1019,2126,7494,9761
"AL","Chilton County",1021,3391,13910,17434
"AL","Choctaw County",1023,3785,4150,7965
"AL","Clarke County",1025,6317,7463,13827
"AL","Clay County",1027,1770,4802,6640
"AL","Cleburne County",1029,971,5269,6302
"AL","Coffee County",1031,4899,14638,19715
"AL","Colbert County",1033,9160,13931,23374
"AL","Conecuh County",1035,3551,3434,7013
"AL","Coosa County",1037,2188,3028,5243
"AL","Covington County",1039,3155,12148,15415
"AL","Crenshaw County",1041,2048,4326,6411
"AL","Cullman County",1043,4855,27930,33178
"AL","Dale County",1045,5283,13105,18551
"AL","Dallas County",1047,14599,6284,20936
"AL","DeKalb County",1049,5235,18316,23842
"AL","Elmore County",1051,8940,26223,35440
"AL","Escambia County",1053,5476,9263,14832
"AL","Etowah County",1055,12792,29102,42490
"AL","Fayette County",1057,1803,6034,7912
"AL","Franklin County",1059,3171,7567,10859
"AL","Geneva County",1061,2039,9173,11318
"AL","Greene County",1063,4514,799,5328
"AL","Hale County",1065,5401,3205,8628
"AL","Henry County",1067,3046,5605,8700
"AL","Houston County",1069,12348,29214,41843
"AL","Jackson County",1071,5817,14422,20555
"AL","Jefferson County",1073,159658,141413,303424
"AL","Lamar County",1075,1643,5453,7159
"AL","Lauderdale County",1077,12504,23902,36908
"AL","Lawrence County",1079,5055,8855,14079
"AL","Lee County",1081,21274,32062,54115
"AL","Limestone County",1083,9809,25263,35406
"AL","Lowndes County",1085,5747,1754,7519
"AL","Macon County",1087,9045,1322,10385
"AL","Madison County",1089,61802,90679,154632
"AL","Marengo County",1091,6154,5321,11509
"AL","Marion County",1093,2249,9696,12104
"AL","Marshall County",1095,6271,25785,32455
"AL","Mobile County",1097,78417,94566,174189
"AL","Monroe County",1099,4897,5730,10680
"AL","Montgomery County",1101,62993,38283,101781
"AL","Morgan County",1103,13401,35309,49198
"AL","Perry County",1105,4536,1504,6065
"AL","Pickens County",1107,4448,5119,9599
"AL","Pike County",1109,6009,7939,14057
"AL","Randolph County",1111,3076,7219,10391
"AL","Russell County",1113,10495,8276,18871
"AL","Shelby County",1117,19944,71243,92204
"AL","St. Clair County",1115,5790,29001,35105
"AL","Sumter County",1119,5420,1585,7025
"AL","Talladega County",1121,13878,19217,33317
"AL","Tallapoosa County",1123,6252,12303,18668
"AL","Tuscaloosa County",1125,32003,45703,78495
"AL","Walker County",1127,6551,21633,28497
"AL","Washington County",1129,2971,5749,8761
"AL","Wilcox County",1131,4867,1676,6547
"AL","Winston County",1133,1286,8310,9712
"AR","Arkansas County",5001,2454,3892,6488
"AR","Ashley County",5003,2855,4866,7915
"AR","Baxter County",5005,5172,13688,19339
"AR","Benton County",5007,22144,53477,77525
"AR","Boone County",5009,3762,11143,15363
"AR","Bradley County",5011,1447,2118,3634
"AR","Calhoun County",5013,660,1458,2174
"AR","Carroll County",5015,3691,6121,10172
"AR","Chicot County",5017,2649,1670,4361
"AR","Clark County",5019,3808,4343,8406
"AR","Clay County",5021,1738,3225,5110
"AR","Cleburne County",5023,2618,8691,11643
"AR","Cleveland County",5025,845,2313,3266
"AR","Columbia County",5027,3557,5790,9455
"AR","Conway County",5029,3003,4511,7724
"AR","Craighead County",5031,10351,20044,31207
"AR","Crawford County",5033,4872,15125,20562
"AR","Crittenden County",5035,9092,6192,15513
"AR","Cross County",5037,2279,4268,6680
"AR","Dallas County",5039,1337,1664,3083
"AR","Desha County",5041,2353,1807,4240
"AR","Drew County",5043,2627,3883,6626
"AR","Faulkner County",5045,13559,26653,41322
"AR","Franklin County",5047,1725,4631,6539
"AR","Fulton County",5049,1452,2949,4522
"AR","Garland County",5051,13317,25031,39241
"AR","Grant County",5053,1467,4829,6478
"AR","Greene County",5055,3998,9066,13754
"AR","Hempstead County",5057,2466,4284,6919
"AR","Hot Spring County",5059,3824,7087,11239
"AR","Howard County",5061,1460,2862,4419
"AR","Independence County",5063,3279,8724,12390
"AR","Izard County",5065,1563,3571,5313
"AR","Jackson County",5067,2093,3065,5338
"AR","Jefferson County",5069,17456,9515,27364
"AR","Johnson County",5071,2785,5045,8064
"AR","Lafayette County",5073,1173,1712,2928
"AR","Lawrence County",5075,1786,3535,5537
"AR","Lee County",5077,2107,1280,3424
"AR","Lincoln County",5079,1424,2199,3725
"AR","Little River County",5081,1552,3385,5051
"AR","Logan County",5083,2009,5078,7330
"AR","Lonoke County",5085,5612,17863,24083
"AR","Madison County",5087,2099,4262,6567
"AR","Marion County",5089,2024,4771,7029
"AR","Miller County",5091,4518,10622,15329
"AR","Mississippi County",5093,6445,6599,13349
"AR","Monroe County",5095,1583,1585,3230
"AR","Montgomery County",5097,920,2368,3403
"AR","Nevada County",5099,1314,1996,3384
"AR","Newton County",5101,993,2508,3661
"AR","Ouachita County",5103,4626,5516,10303
"AR","Perry County",5105,1187,2580,3937
"AR","Phillips County",5107,5179,2591,7900
"AR","Pike County",5109,850,2847,3787
"AR","Poinsett County",5111,2387,4967,7550
"AR","Polk County",5113,1556,5950,7721
"AR","Pope County",5115,5108,14733,20390
"AR","Prairie County",5117,877,2149,3134
"AR","Pulaski County",5119,87055,68856,159055
"AR","Randolph County",5121,2040,3699,5948
"AR","Saline County",5125,12868,32962,47059
"AR","Scott County",5127,895,2630,3637
"AR","Searcy County",5129,814,2699,3694
"AR","Sebastian County",5131,13083,29158,43340
"AR","Sevier County",5133,1042,3135,4328
"AR","Sharp County",5135,2092,4920,7282
"AR","St. Francis County",5123,4652,3287,8021
"AR","Stone County",5137,1356,3773,5351
"AR","Union County",5139,6182,10696,17160
"AR","Van Buren County",5141,1826,4362,6421
"AR","Washington County",5143,28136,39570,70231
"AR","White County",5145,5765,20005,26508
"AR","Woodruff County",5147,1340,1227,2685
"AR","Yell County",5149,1720,4041,5971
"AZ","Apache County",4001,16833,8198,25465
"AZ","Cochise County",4003,16223,26742,43776
"AZ","Coconino County",4005,26316,19368,46746
"AZ","Gila County",4007,6650,11525,18477
"AZ","Graham County",4009,3608,8076,11854
"AZ","Greenlee County",4011,1310,1590,2972
"AZ","La Paz County",4012,1619,3205,4922
"AZ","Maricopa County",4013,512008,654835,1187008
"AZ","Mohave County",4015,18324,46442,65949
"AZ","Navajo County",4017,16157,19155,35775
"AZ","Pima County",4019,183470,162927,351817
